,split,sup_loss_weight,alpha,u,accuracy
452,3,0.8,0.9,0.2,0.72
453,4,0.8,0.9,0.2,0.492
454,5,0.8,0.9,0.2,0.724
455,6,0.8,0.9,0.2,0.778
456,7,0.8,0.9,0.2,0.778
457,8,0.8,0.9,0.2,0.708
458,9,0.8,0.9,0.2,0.736
459,10,0.8,0.9,0.2,0.37
460,1,0.8,0.9,0.5,0.708
461,2,0.8,0.9,0.5,0.722
462,3,0.8,0.9,0.5,0.402
463,4,0.8,0.9,0.5,0.388
464,5,0.8,0.9,0.5,0.65
465,6,0.8,0.9,0.5,0.73
466,7,0.8,0.9,0.5,0.428
467,8,0.8,0.9,0.5,0.726
468,9,0.8,0.9,0.5,0.714
469,10,0.8,0.9,0.5,0.782
470,1,0.8,0.9,0.8,0.692
471,2,0.8,0.9,0.8,0.702
472,3,0.8,0.9,0.8,0.732
473,4,0.8,0.9,0.8,0.768
474,5,0.8,0.9,0.8,0.692
475,6,0.8,0.9,0.8,0.712
476,7,0.8,0.9,0.8,0.758
477,8,0.8,0.9,0.8,0.696
478,9,0.8,0.9,0.8,0.724
479,10,0.8,0.9,0.8,0.762
